,customer_no,location
375,53,fruit
376,53,fruit
377,53,checkout
378,54,spices
379,54,dairy
380,54,dairy
381,54,dairy
382,54,dairy
383,54,dairy
384,54,dairy
385,54,checkout
386,55,spices
387,55,spices
388,55,dairy
389,55,dairy
390,55,dairy
391,55,checkout
392,56,fruit
393,56,fruit
394,56,fruit
395,56,dairy
396,56,spices
397,56,drinks
398,56,drinks
399,56,drinks
400,56,drinks
401,56,drinks
402,56,checkout
403,57,fruit
404,57,checkout
405,58,drinks
406,58,drinks
407,58,checkout
408,59,dairy
409,59,dairy
410,59,dairy
411,59,dairy
412,59,dairy
413,59,drinks
414,59,drinks
415,59,drinks
416,59,fruit
417,59,checkout
418,60,fruit
419,60,fruit
420,60,drinks
421,60,checkout
422,61,spices
423,61,drinks
424,61,drinks
425,61,drinks
426,61,drinks
427,61,drinks
428,61,drinks
429,61,drinks
430,61,checkout
431,62,spices
432,62,spices
433,62,drinks
434,62,drinks
435,62,drinks
436,62,checkout
437,63,spices
438,63,drinks
439,63,fruit
440,63,fruit
441,63,dairy
442,63,fruit
443,63,fruit
444,63,drinks
445,63,drinks
446,63,checkout
447,64,drinks
448,64,drinks
449,64,fruit
450,64,drinks
451,64,drinks
452,64,checkout
453,65,drinks
454,65,drinks
455,65,drinks
456,65,drinks
457,65,drinks
458,65,drinks
459,65,dairy
460,65,checkout
461,66,spices
462,66,spices
463,66,spices
464,66,drinks
465,66,drinks
466,66,spices
467,66,spices
468,66,checkout
469,67,dairy
470,67,dairy
471,67,spices
472,67,spices
473,67,drinks
474,67,drinks
475,67,checkout
476,68,spices
477,68,spices
478,68,spices
479,68,drinks
480,68,drinks
481,68,drinks
482,68,fruit
483,68,fruit
484,68,spices
485,68,spices
486,68,checkout
487,69,fruit
488,69,checkout
489,70,spices
490,70,spices
491,70,drinks
492,70,drinks
493,70,drinks
494,70,checkout
495,71,dairy
496,71,fruit
497,71,fruit
498,71,fruit
499,71,fruit
500,71,fruit
501,71,fruit
502,71,fruit
503,71,checkout
504,72,spices
505,72,spices
506,72,drinks
507,72,drinks
508,72,drinks
509,72,drinks
510,72,drinks
511,72,drinks
512,72,drinks
513,72,checkout
514,73,dairy
515,73,checkout
516,74,spices
517,74,spices
518,74,fruit
519,74,checkout
520,75,spices
521,75,dairy
522,75,drinks
523,75,drinks
524,75,spices
525,75,drinks
526,75,drinks
527,75,checkout
528,76,drinks
529,76,drinks
530,76,drinks
531,76,drinks
532,76,drinks
533,76,dairy
534,76,drinks
535,76,checkout
536,77,fruit
537,77,fruit
538,77,fruit
539,77,fruit
540,77,fruit
541,77,fruit
542,77,fruit
543,77,fruit
544,77,checkout
545,78,spices
546,78,dairy
547,78,dairy
548,78,dairy
549,78,checkout
550,79,dairy
551,79,dairy
552,79,dairy
553,79,dairy
554,79,dairy
555,79,dairy
556,79,dairy
557,79,dairy
558,79,dairy
559,79,drinks
560,79,checkout
561,80,dairy
562,80,drinks
563,80,drinks
564,80,drinks
565,80,drinks
566,80,drinks
567,80,spices
568,80,dairy
569,80,dairy
570,80,dairy
571,80,dairy
572,80,dairy
573,80,fruit
574,80,fruit
575,80,fruit
576,80,checkout
577,81,drinks
578,81,fruit
579,81,checkout
580,82,drinks
581,82,drinks
582,82,drinks
583,82,drinks
584,82,drinks
585,82,checkout
586,83,fruit
587,83,dairy
588,83,checkout
589,84,fruit
590,84,fruit
591,84,drinks
592,84,drinks
593,84,drinks
594,84,drinks
595,84,spices
596,84,dairy
597,84,dairy
598,84,dairy
599,84,dairy
600,84,dairy
601,84,dairy
602,84,drinks
603,84,checkout
604,85,drinks
605,85,spices
606,85,checkout
607,86,spices
608,86,drinks
609,86,spices
610,86,spices
611,86,fruit
612,86,fruit
613,86,dairy
614,86,dairy
615,86,fruit
616,86,fruit
617,86,fruit
618,86,fruit
619,86,spices
620,86,spices
621,86,spices
622,86,spices
623,86,dairy
624,86,drinks
625,86,fruit
626,86,fruit
627,86,drinks
628,86,drinks
629,86,drinks
630,86,checkout
631,87,drinks
632,87,checkout
633,88,dairy
634,88,dairy
635,88,dairy
636,88,dairy
637,88,dairy
638,88,dairy
639,88,dairy
640,88,dairy
641,88,checkout
642,89,drinks
643,89,checkout
644,90,spices
645,90,checkout
646,91,fruit
647,91,fruit
648,91,fruit
649,91,fruit
650,91,dairy
651,91,dairy
652,91,dairy
653,91,checkout
654,92,dairy
655,92,dairy
656,92,dairy
657,92,dairy
658,92,dairy
659,92,checkout
660,93,dairy
661,93,checkout
662,94,drinks
663,94,dairy
664,94,checkout
665,95,drinks
666,95,drinks
667,95,drinks
668,95,drinks
669,95,fruit
670,95,fruit
671,95,fruit
672,95,fruit
673,95,fruit
674,95,spices
675,95,dairy
676,95,dairy
677,95,dairy
678,95,dairy
679,95,dairy
680,95,dairy
681,95,dairy
682,95,dairy
683,95,dairy
684,95,dairy
685,95,dairy
686,95,dairy
687,95,dairy
688,95,dairy
689,95,dairy
690,95,dairy
691,95,dairy
692,95,dairy
693,95,dairy
694,95,checkout
695,96,dairy
696,96,checkout
697,97,fruit
698,97,fruit
699,97,fruit
700,97,fruit
701,97,fruit
702,97,fruit
703,97,fruit
704,97,checkout
705,98,dairy
706,98,drinks
707,98,fruit
708,98,drinks
709,98,checkout
710,99,dairy
711,99,dairy
712,99,drinks
713,99,drinks
714,99,spices
715,99,drinks
716,99,drinks
717,99,checkout
718,100,drinks
719,100,drinks
720,100,drinks
721,100,drinks
722,100,drinks
723,100,drinks
724,100,drinks
725,100,checkout
726,101,fruit
727,101,fruit
728,101,fruit
729,101,fruit
730,101,checkout
731,102,dairy
732,102,dairy
733,102,dairy
734,102,dairy
735,102,dairy
736,102,checkout
737,103,dairy
738,103,dairy
739,103,drinks
740,103,spices
741,103,drinks
742,103,drinks
743,103,checkout
744,104,fruit
745,104,fruit
746,104,fruit
747,104,fruit
748,104,fruit
749,104,fruit
750,104,spices
751,104,drinks
752,104,drinks
753,104,spices
754,104,dairy
755,104,dairy
756,104,dairy
757,104,fruit
758,104,fruit
759,104,fruit
760,104,fruit
761,104,fruit
762,104,fruit
763,104,fruit
764,104,fruit
765,104,fruit
766,104,checkout
767,105,fruit
768,105,checkout
769,106,drinks
770,106,spices
771,106,spices
772,106,checkout
773,107,dairy
774,107,dairy
775,107,dairy
776,107,dairy
777,107,dairy
778,107,dairy
779,107,dairy
780,107,dairy
781,107,dairy
782,107,dairy
783,107,dairy
784,107,dairy
785,107,dairy
786,107,dairy
787,107,dairy
788,107,spices
789,107,checkout
790,108,fruit
791,108,fruit
792,108,fruit
793,108,dairy
794,108,checkout
795,109,dairy
796,109,dairy
797,109,dairy
798,109,dairy
799,109,dairy
800,109,dairy
801,109,dairy
802,109,dairy
803,109,dairy
804,109,dairy
805,109,dairy
806,109,dairy
807,109,dairy
808,109,dairy
809,109,dairy
810,109,dairy
811,109,dairy
812,109,dairy
813,109,dairy
814,109,dairy
815,109,dairy
816,109,dairy
817,109,dairy
818,109,dairy
819,109,dairy
820,109,dairy
821,109,dairy
822,109,dairy
823,109,spices
824,109,drinks
825,109,drinks
826,109,drinks
827,109,fruit
828,109,fruit
829,109,dairy
830,109,dairy
831,109,dairy
832,109,dairy
833,109,dairy
834,109,spices
835,109,fruit
836,109,spices
837,109,spices
838,109,drinks
839,109,drinks
840,109,checkout
841,110,spices
842,110,spices
843,110,spices
844,110,dairy
845,110,dairy
846,110,dairy
847,110,checkout
848,111,fruit
849,111,fruit
850,111,fruit
851,111,fruit
852,111,fruit
853,111,fruit
854,111,fruit
855,111,dairy
856,111,dairy
857,111,checkout
858,112,fruit
859,112,dairy
860,112,dairy
861,112,dairy
862,112,dairy
863,112,dairy
864,112,dairy
865,112,checkout
866,113,dairy
867,113,dairy
868,113,drinks
869,113,fruit
870,113,fruit
871,113,checkout
872,114,drinks
873,114,checkout
874,115,fruit
875,115,fruit
876,115,fruit
877,115,fruit
878,115,fruit
879,115,fruit
880,115,fruit
881,115,checkout
882,116,drinks
883,116,checkout
884,117,dairy
885,117,dairy
886,117,spices
887,117,spices
888,117,spices
889,117,spices
890,117,drinks
891,117,checkout
892,118,fruit
893,118,fruit
894,118,checkout
895,119,drinks
896,119,checkout
897,120,spices
898,120,spices
899,120,spices
900,120,dairy
901,120,checkout
902,121,dairy
903,121,dairy
904,121,dairy
905,121,dairy
906,121,dairy
907,121,checkout
908,122,dairy
909,122,dairy
910,122,dairy
911,122,dairy
912,122,dairy
913,122,drinks
914,122,checkout
915,123,drinks
916,123,drinks
917,123,drinks
918,123,drinks
919,123,dairy
920,123,checkout
921,124,fruit
922,124,fruit
923,124,checkout
924,125,fruit
925,125,fruit
926,125,checkout
927,126,fruit
928,126,fruit
929,126,fruit
930,126,fruit
931,126,fruit
932,126,fruit
933,126,fruit
934,126,checkout
935,127,spices
936,127,fruit
937,127,spices
938,127,checkout
939,128,fruit
940,128,fruit
941,128,fruit
942,128,fruit
943,128,fruit
944,128,fruit
945,128,checkout
946,129,spices
947,129,checkout
948,130,drinks
949,130,drinks
950,130,checkout
951,131,dairy
952,131,checkout
953,132,fruit
954,132,fruit
955,132,checkout
956,133,dairy
957,133,dairy
958,133,dairy
959,133,drinks
960,133,drinks
961,133,drinks
962,133,drinks
963,133,drinks
964,133,drinks
965,133,drinks
966,133,drinks
967,133,spices
968,133,spices
969,133,spices
970,133,dairy
971,133,dairy
972,133,dairy
973,133,dairy
974,133,dairy
975,133,spices
976,133,spices
977,133,spices
978,133,spices
979,133,dairy
980,133,fruit
981,133,checkout
982,134,drinks
983,134,drinks
984,134,drinks
985,134,drinks
986,134,checkout
987,135,dairy
988,135,dairy
989,135,dairy
990,135,dairy
991,135,checkout
992,136,dairy
993,136,dairy
994,136,dairy
995,136,dairy
996,136,drinks
997,136,fruit
998,136,checkout
999,137,fruit
1000,137,fruit
1001,137,fruit
1002,137,fruit
1003,137,checkout
1004,138,fruit
1005,138,dairy
1006,138,spices
1007,138,drinks
1008,138,drinks
1009,138,drinks
1010,138,drinks
1011,138,checkout
1012,139,dairy
1013,139,dairy
1014,139,dairy
1015,139,checkout
1016,140,fruit
1017,140,fruit
1018,140,fruit
1019,140,checkout
1020,141,fruit
1021,141,fruit
1022,141,checkout
1023,142,dairy
1024,142,dairy
1025,142,dairy
1026,142,dairy
1027,142,dairy
1028,142,drinks
1029,142,drinks
1030,142,checkout
1031,143,dairy
1032,143,dairy
1033,143,dairy
1034,143,drinks
1035,143,checkout
1036,144,drinks
1037,144,drinks
1038,144,drinks
1039,144,drinks
1040,144,drinks
1041,144,spices
1042,144,spices
1043,144,spices
1044,144,spices
1045,144,drinks
1046,144,checkout
1047,145,drinks
1048,145,checkout
1049,146,dairy
1050,146,dairy
1051,146,spices
1052,146,drinks
1053,146,drinks
1054,146,spices
1055,146,spices
1056,146,checkout
1057,147,dairy
1058,147,dairy
1059,147,fruit
1060,147,spices
1061,147,fruit
1062,147,fruit
1063,147,drinks
1064,147,drinks
1065,147,drinks
1066,147,drinks
1067,147,checkout
1068,148,spices
1069,148,spices
1070,148,checkout
1071,149,spices
1072,149,fruit
1073,149,fruit
1074,149,fruit
1075,149,checkout
1076,150,dairy
1077,150,dairy
1078,150,dairy
1079,150,dairy
1080,150,dairy
1081,150,drinks
1082,150,checkout
1083,151,dairy
1084,151,dairy
1085,151,dairy
1086,151,dairy
1087,151,dairy
1088,151,fruit
1089,151,fruit
1090,151,fruit
1091,151,fruit
1092,151,fruit
1093,151,checkout
1094,152,fruit
1095,152,fruit
1096,152,checkout
1097,153,dairy
1098,153,dairy
1099,153,checkout
1100,154,dairy
1101,154,dairy
1102,154,spices
1103,154,spices
1104,154,spices
1105,154,drinks
1106,154,drinks
1107,154,fruit
1108,154,fruit
1109,154,fruit
1110,154,drinks
1111,154,drinks
1112,154,fruit
1113,154,spices
1114,154,spices
1115,154,dairy
1116,154,dairy
1117,154,dairy
1118,154,dairy
1119,154,dairy
1120,154,dairy
1121,154,dairy
1122,154,checkout
1123,155,drinks
1124,155,checkout
1125,156,fruit
1126,156,checkout
1127,157,spices
1128,157,spices
1129,157,spices
1130,157,dairy
1131,157,dairy
1132,157,dairy
1133,157,checkout
1134,158,drinks
1135,158,drinks
1136,158,spices
1137,158,drinks
1138,158,drinks
1139,158,drinks
1140,158,drinks
1141,158,drinks
1142,158,drinks
1143,158,drinks
1144,158,drinks
1145,158,drinks
1146,158,checkout
1147,159,drinks
1148,159,fruit
1149,159,fruit
1150,159,fruit
1151,159,fruit
1152,159,spices
1153,159,spices
1154,159,spices
1155,159,spices
1156,159,spices
1157,159,spices
1158,159,drinks
1159,159,fruit
1160,159,checkout
1161,160,fruit
1162,160,fruit
1163,160,drinks
1164,160,drinks
1165,160,drinks
1166,160,drinks
1167,160,drinks
1168,160,checkout
1169,161,dairy
1170,161,drinks
1171,161,drinks
1172,161,spices
1173,161,spices
1174,161,drinks
1175,161,drinks
1176,161,spices
1177,161,spices
1178,161,spices
1179,161,spices
1180,161,spices
1181,161,dairy
1182,161,checkout
1183,162,spices
1184,162,fruit
1185,162,fruit
1186,162,fruit
1187,162,checkout
1188,163,drinks
1189,163,spices
1190,163,dairy
1191,163,dairy
1192,163,dairy
1193,163,dairy
1194,163,dairy
1195,163,dairy
1196,163,drinks
1197,163,drinks
1198,163,drinks
1199,163,drinks
1200,163,drinks
1201,163,drinks
1202,163,drinks
1203,163,drinks
1204,163,drinks
1205,163,checkout
1206,164,fruit
1207,164,fruit
1208,164,dairy
1209,164,dairy
1210,164,dairy
1211,164,dairy
1212,164,dairy
1213,164,checkout
1214,165,fruit
1215,165,fruit
1216,165,fruit
1217,165,fruit
1218,165,fruit
1219,165,fruit
1220,165,fruit
1221,165,dairy
1222,165,drinks
1223,165,drinks
1224,165,drinks
1225,165,drinks
1226,165,drinks
1227,165,drinks
1228,165,drinks
1229,165,checkout
1230,166,dairy
1231,166,dairy
1232,166,dairy
1233,166,dairy
1234,166,dairy
1235,166,dairy
1236,166,dairy
1237,166,checkout
1238,167,spices
1239,167,dairy
1240,167,fruit
1241,167,fruit
1242,167,dairy
1243,167,drinks
1244,167,drinks
1245,167,drinks
1246,167,drinks
1247,167,drinks
1248,167,spices
1249,167,fruit
1250,167,fruit
1251,167,fruit
1252,167,fruit
1253,167,fruit
1254,167,fruit
1255,167,fruit
1256,167,fruit
1257,167,fruit
1258,167,fruit
1259,167,fruit
1260,167,fruit
1261,167,drinks
1262,167,drinks
1263,167,drinks
1264,167,spices
1265,167,dairy
1266,167,dairy
1267,167,dairy
1268,167,checkout
1269,168,drinks
1270,168,drinks
1271,168,spices
1272,168,checkout
1273,169,drinks
1274,169,drinks
1275,169,drinks
1276,169,spices
1277,169,spices
1278,169,checkout
1279,170,fruit
1280,170,fruit
1281,170,fruit
1282,170,checkout
1283,171,spices
1284,171,dairy
1285,171,dairy
1286,171,dairy
1287,171,checkout
1288,172,drinks
1289,172,drinks
1290,172,spices
1291,172,spices
1292,172,spices
1293,172,spices
1294,172,dairy
1295,172,dairy
1296,172,dairy
1297,172,dairy
1298,172,checkout
1299,173,drinks
1300,173,drinks
1301,173,drinks
1302,173,drinks
1303,173,drinks
1304,173,checkout
1305,174,fruit
1306,174,fruit
1307,174,fruit
1308,174,fruit
1309,174,checkout
1310,175,drinks
1311,175,checkout
1312,176,drinks
1313,176,fruit
1314,176,fruit
1315,176,checkout
1316,177,fruit
1317,177,fruit
1318,177,checkout
1319,178,fruit
1320,178,fruit
1321,178,fruit
1322,178,drinks
1323,178,drinks
1324,178,drinks
1325,178,checkout
1326,179,spices
1327,179,spices
1328,179,drinks
1329,179,checkout
1330,180,fruit
1331,180,fruit
1332,180,fruit
1333,180,fruit
1334,180,fruit
1335,180,fruit
1336,180,dairy
1337,180,checkout
1338,181,fruit
1339,181,dairy
1340,181,checkout
1341,182,dairy
1342,182,dairy
1343,182,spices
1344,182,dairy
1345,182,dairy
1346,182,dairy
1347,182,dairy
1348,182,checkout
1349,183,fruit
1350,183,checkout
1351,184,drinks
1352,184,spices
1353,184,drinks
1354,184,fruit
1355,184,checkout
1356,185,dairy
1357,185,dairy
1358,185,dairy
1359,185,dairy
1360,185,checkout
1361,186,dairy
1362,186,dairy
1363,186,dairy
1364,186,dairy
1365,186,dairy
1366,186,dairy
1367,186,dairy
1368,186,dairy
1369,186,dairy
1370,186,dairy
1371,186,dairy
1372,186,fruit
1373,186,dairy
1374,186,dairy
1375,186,dairy
1376,186,dairy
1377,186,dairy
1378,186,dairy
1379,186,drinks
1380,186,drinks
1381,186,drinks
1382,186,drinks
1383,186,fruit
1384,186,fruit
1385,186,dairy
1386,186,dairy
1387,186,dairy
1388,186,dairy
1389,186,dairy
1390,186,dairy
1391,186,dairy
1392,186,dairy
1393,186,drinks
1394,186,spices
1395,186,fruit
1396,186,checkout
1397,187,drinks
1398,187,drinks
1399,187,spices
1400,187,spices
1401,187,dairy
1402,187,fruit
1403,187,fruit
1404,187,fruit
1405,187,checkout
1406,188,fruit
1407,188,fruit
1408,188,fruit
1409,188,checkout
1410,189,dairy
1411,189,spices
1412,189,drinks
1413,189,drinks
1414,189,drinks
1415,189,fruit
1416,189,fruit
1417,189,checkout
1418,190,spices
1419,190,dairy
1420,190,dairy
1421,190,dairy
1422,190,dairy
1423,190,dairy
1424,190,dairy
1425,190,checkout
1426,191,dairy
1427,191,dairy
1428,191,dairy
1429,191,dairy
1430,191,dairy
1431,191,dairy
1432,191,drinks
1433,191,spices
1434,191,spices
1435,191,dairy
1436,191,checkout
1437,192,dairy
1438,192,dairy
1439,192,dairy
1440,192,dairy
1441,192,dairy
1442,192,dairy
1443,192,dairy
1444,192,drinks
1445,192,drinks
1446,192,drinks
1447,192,drinks
1448,192,drinks
1449,192,fruit
1450,192,drinks
1451,192,checkout
1452,193,drinks
1453,193,drinks
1454,193,drinks
1455,193,checkout
1456,194,drinks
1457,194,checkout
1458,195,dairy
1459,195,dairy
1460,195,fruit
1461,195,drinks
1462,195,checkout
1463,196,dairy
1464,196,spices
1465,196,spices
1466,196,fruit
1467,196,fruit
1468,196,fruit
1469,196,fruit
1470,196,checkout
1471,197,fruit
1472,197,fruit
1473,197,fruit
1474,197,fruit
1475,197,spices
1476,197,checkout
1477,198,fruit
1478,198,fruit
1479,198,checkout
1480,199,fruit
1481,199,fruit
1482,199,fruit
1483,199,fruit
1484,199,dairy
1485,199,dairy
1486,199,dairy
1487,199,dairy
1488,199,fruit
1489,199,fruit
1490,199,fruit
1491,199,spices
1492,199,drinks
1493,199,drinks
1494,199,drinks
1495,199,spices
1496,199,spices
1497,199,spices
1498,199,checkout
1499,200,fruit
1500,200,fruit
1501,200,fruit
1502,200,fruit
1503,200,fruit
1504,200,fruit
1505,200,checkout
1506,201,fruit
1507,201,dairy
1508,201,dairy
1509,201,dairy
1510,201,checkout
1511,202,dairy
1512,202,dairy
1513,202,dairy
1514,202,checkout
1515,203,spices
1516,203,drinks
1517,203,drinks
1518,203,drinks
1519,203,drinks
1520,203,checkout
1521,204,dairy
1522,204,checkout
1523,205,fruit
1524,205,fruit
1525,205,drinks
1526,205,drinks
1527,205,checkout
1528,206,fruit
1529,206,fruit
1530,206,fruit
1531,206,dairy
1532,206,dairy
1533,206,drinks
1534,206,fruit
1535,206,fruit
1536,206,dairy
1537,206,dairy
1538,206,dairy
1539,206,dairy
1540,206,dairy
1541,206,dairy
1542,206,dairy
1543,206,checkout
1544,207,fruit
1545,207,fruit
1546,207,checkout
1547,208,dairy
1548,208,dairy
1549,208,drinks
1550,208,drinks
1551,208,fruit
1552,208,fruit
1553,208,dairy
1554,208,dairy
1555,208,dairy
1556,208,dairy
1557,208,checkout
1558,209,fruit
1559,209,checkout
1560,210,fruit
1561,210,fruit
1562,210,checkout
1563,211,dairy
1564,211,dairy
1565,211,dairy
1566,211,dairy
1567,211,dairy
1568,211,dairy
1569,211,spices
1570,211,dairy
1571,211,dairy
1572,211,dairy
1573,211,drinks
1574,211,drinks
1575,211,drinks
1576,211,fruit
1577,211,checkout
1578,212,dairy
1579,212,dairy
1580,212,checkout
1581,213,drinks
1582,213,checkout
1583,214,fruit
1584,214,fruit
1585,214,fruit
1586,214,fruit
1587,214,dairy
1588,214,drinks
1589,214,drinks
1590,214,drinks
1591,214,drinks
1592,214,drinks
1593,214,drinks
1594,214,fruit
1595,214,drinks
1596,214,drinks
1597,214,drinks
1598,214,drinks
1599,214,drinks
1600,214,drinks
1601,214,checkout
1602,215,fruit
1603,215,checkout
1604,216,dairy
1605,216,dairy
1606,216,drinks
1607,216,drinks
1608,216,drinks
1609,216,spices
1610,216,drinks
1611,216,checkout
1612,217,spices
1613,217,spices
1614,217,dairy
1615,217,dairy
1616,217,dairy
1617,217,dairy
1618,217,drinks
1619,217,drinks
1620,217,drinks
1621,217,fruit
1622,217,fruit
1623,217,fruit
1624,217,fruit
1625,217,fruit
1626,217,fruit
1627,217,fruit
1628,217,dairy
1629,217,checkout
1630,218,fruit
1631,218,fruit
1632,218,fruit
1633,218,fruit
1634,218,checkout
1635,219,fruit
1636,219,fruit
1637,219,dairy
1638,219,dairy
1639,219,dairy
1640,219,dairy
1641,219,dairy
1642,219,dairy
1643,219,dairy
1644,219,dairy
1645,219,dairy
1646,219,dairy
1647,219,dairy
1648,219,dairy
1649,219,fruit
1650,219,fruit
1651,219,fruit
1652,219,fruit
1653,219,fruit
1654,219,fruit
1655,219,fruit
1656,219,fruit
1657,219,fruit
1658,219,checkout
1659,220,fruit
1660,220,fruit
1661,220,spices
1662,220,spices
1663,220,spices
1664,220,drinks
1665,220,drinks
1666,220,drinks
1667,220,fruit
1668,220,fruit
1669,220,fruit
1670,220,fruit
1671,220,dairy
1672,220,dairy
1673,220,dairy
1674,220,dairy
1675,220,drinks
1676,220,drinks
1677,220,drinks
1678,220,checkout
1679,221,dairy
1680,221,dairy
1681,221,dairy
1682,221,dairy
1683,221,dairy
1684,221,dairy
